,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
130, Hawaii, BW, 31, 22, 101.9, 99.2, .5763, 48.7, 44.7, 18.3, 16.8, 29.6, 26.5, 33.7, 27.2, 48.4, 44.7, 32.8, 29.7, 64.7, -4.6
131, Air Force, MWC, 32, 14, 106.4, 103.7, .5756, 54.2, 49.3, 19, 17.1, 22.3, 28.6, 31.2, 35.2, 54.8, 51.9, 35.6, 29.3, 63.1, -8.8
132, Syracuse, ACC, 32, 17, 109.5, 106.6, .5744, 51.6, 51.2, 17, 18.7, 30, 33.6, 30.7, 21.7, 50.5, 50.9, 36.1, 34.4, 67.3, -5.9
133, Butler, BE, 32, 14, 100.7, 98.2, .5735, 49.5, 50.1, 17.6, 18.6, 20, 30.3, 25.9, 22.6, 49.7, 51, 32.7, 32.1, 65.7, -4.7
134, Stephen F. Austin, WAC, 29, 19, 105.0, 102.4, .5727, 51.5, 51.4, 21.3, 23.8, 31.6, 32.2, 38.9, 41.8, 49.2, 51.7, 38, 34, 69.2, -6.7
135, South Florida, Amer, 32, 14, 106.3, 103.7, .5700, 50.8, 49.8, 19.6, 18.7, 33, 27.8, 30.7, 37.1, 51, 48.2, 33.6, 34.9, 68.4, -9
136, Ohio, MAC, 31, 19, 110.9, 108.3, .5682, 52.6, 51.4, 15.9, 17.6, 32.3, 29.2, 27.7, 33.7, 50.4, 51.6, 37.5, 34.1, 68.1, -6.7
137, Southern Illinois, MVC, 32, 23, 101.0, 98.7, .5641, 51.7, 47.6, 19.3, 19.6, 22.8, 27.3, 30.6, 29.8, 54.6, 46.7, 32.2, 33, 63.8, -2.9
138, Samford, SC, 28, 21, 108.8, 106.4, .5617, 53.6, 51.9, 17.9, 19.8, 28.2, 27, 41, 37.6, 52.6, 49, 36.5, 37, 68, -5.8
139, Utah Tech, WAC, 29, 14, 108.2, 105.9, .5610, 52.8, 53.9, 21.3, 20.2, 28.7, 27, 45.5, 34.7, 50.4, 52.8, 37.5, 37.1, 68.9, -10
140, Wyoming, MWC, 30, 9, 107.9, 105.8, .5577, 51.6, 53.4, 18.2, 16.4, 24.2, 25.3, 33.4, 28.9, 51.3, 52.6, 34.7, 36.4, 65.6, -10.9
141, Missouri St., MVC, 31, 17, 104.9, 102.9, .5548, 50.1, 49.3, 19.1, 18.6, 33.2, 26.9, 27.2, 30.4, 50.9, 49.5, 32.8, 32.6, 62, -7.5
142, Eastern Kentucky, ASun, 30, 20, 103.9, 102.1, .5519, 47.6, 49.5, 17.2, 18.4, 33.3, 30.1, 24.8, 25.7, 47.8, 48.5, 31.5, 34.1, 70.2, -6.1
143, Notre Dame, ACC, 32, 11, 109.0, 107.2, .5471, 52, 52.1, 13.4, 13.6, 19.6, 26.5, 23.3, 26.5, 50.6, 52.4, 35.8, 34.3, 64.8, -11.8
144, Long Beach St., BW, 31, 17, 105.8, 104.2, .5444, 48.4, 49.8, 18.7, 18.2, 34.6, 28, 34.4, 30, 49.4, 48.8, 30.2, 34.2, 73.1, -8.4
145, LSU, SEC, 32, 14, 106.5, 105.0, .5405, 47.7, 51.8, 18.6, 17.5, 31.4, 28.6, 33.8, 29.6, 46.6, 51.9, 33, 34.5, 65.7, -6.3
146, Appalachian St., SB, 29, 16, 102.1, 100.7, .5389, 48.7, 47.9, 16.3, 17.1, 24.5, 28.8, 29.3, 24.8, 48.3, 46.5, 32.9, 33.4, 65.1, -9.9
147, Troy, SB, 30, 20, 103.1, 101.8, .5366, 49.4, 48.6, 18.7, 21.1, 30.3, 30.1, 32.5, 34.6, 51.2, 48.4, 31.2, 32.7, 67.8, -5.8
148, Portland, WCC, 31, 14, 110.5, 109.1, .5364, 53.8, 54.5, 18, 16.9, 24.1, 30.2, 43.3, 27.7, 51.8, 53.2, 37.4, 37.4, 69.3, -8.9
149, UC Davis, BW, 29, 18, 105.3, 104.1, .5345, 50.3, 50.5, 20.4, 20.8, 32.3, 29, 43, 32, 49.7, 48.6, 34.3, 36.6, 70.7, -7.3
150, Fordham, A10, 31, 24, 101.8, 100.7, .5315, 48.3, 46.6, 19.3, 19.5, 30, 25.4, 37.9, 38, 48.7, 45.8, 31.9, 32.4, 69.7, -1.3
151, Cal Baptist, WAC, 31, 17, 103.8, 102.7, .5310, 49, 47.6, 18.1, 16, 28.9, 26.1, 31.6, 29.3, 49.2, 49, 32.5, 29.7, 64.1, -9.6
